Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
652;4700152636;"Mind and Society";journal;"15937879";"Springer Verlag";No;No;0,279;Q2;24;11;68;520;66;62;0,94;47,27;22,73;0;4;Germany;Western Europe;"Springer Verlag";"2005-2025";"Cultural Studies (Q1); History (Q1); Economics, Econometrics and Finance (miscellaneous) (Q2); Philosophy (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2); Experimental and Cognitive Psychology (Q4); Social Psychology (Q4)";"Arts and Humanities; Economics, Econometrics and Finance; Psychology; Social Sciences"
653;5600152877;"Rethinking Marxism";journal;"08935696";"Routledge";Yes;No;0,279;Q2;33;38;103;1335;56;84;0,55;35,13;10,64;0;10;United Kingdom;Western Europe;"Routledge";"1988-1996, 1998-2024";"Sociology and Political Science (Q2)";"Social Sciences"
654;4700152718;"Adoption Quarterly";journal;"10926755";"Routledge";No;No;0,278;Q2;39;15;44;901;45;43;0,82;60,07;70,00;3;5;United States;Northern America;"Routledge";"1997-2025";"Demography (Q2); Law (Q2); Sociology and Political Science (Q2)";"Social Sciences"
655;21100788265;"Housing and Society";journal;"23760923, 08882746";"Taylor and Francis Ltd.";No;No;0,278;Q2;11;17;38;1152;40;37;1,04;67,76;72,92;3;14;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2015-2025";"Sociology and Political Science (Q2); Urban Studies (Q2); Geography, Planning and Development (Q3)";"Social Sciences"
656;130127;"Human Rights Law Review";journal;"14617781, 17441021";"Oxford University Press";No;No;0,278;Q2;47;35;97;2360;140;97;1,19;67,43;52,00;10;32;United Kingdom;Western Europe;"Oxford University Press";"2005-2024";"Law (Q2); Sociology and Political Science (Q2)";"Social Sciences"
657;21100448012;"Partecipazione e Conflitto";journal;"19727623, 20356609";"University of Salento";Yes;Yes;0,278;Q2;22;57;176;3215;190;171;0,83;56,40;39,08;1;27;Italy;Western Europe;"University of Salento";"2015-2024";"Sociology and Political Science (Q2)";"Social Sciences"
658;21101038576;"Contemporary Voice of Dalit (discontinued)";journal;"2455328X, 24560502";"SAGE Publications Inc.";No;No;0,277;Q2;9;168;85;4503;70;73;0,74;26,80;32,78;0;89;United States;Northern America;"SAGE Publications Inc.";"2016-2023";"Cultural Studies (Q1); Anthropology (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)";"Social Sciences"
659;21100867938;"Open Library of Humanities";journal;"20566700";"Open Library of Humanities";Yes;Yes;0,277;Q2;14;35;148;1617;102;146;0,73;46,20;60,78;1;7;United Kingdom;Western Europe;"Open Library of Humanities";"2015-2025";"Cultural Studies (Q1); Anthropology (Q2); Arts and Humanities (miscellaneous) (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
660;145648;"Refuge";journal;"19207336, 02295113";"York University Libraries";Yes;Yes;0,277;Q2;35;23;53;1112;67;51;0,83;48,35;79,59;3;12;Canada;Northern America;"York University Libraries";"1996-2024";"Cultural Studies (Q1); Demography (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2); Geography, Planning and Development (Q3)";"Social Sciences"
661;22273;"Peace Economics, Peace Science and Public Policy";journal;"15548597, 10792457";"Walter de Gruyter GmbH";No;No;0,276;Q2;23;16;88;631;90;84;1,15;39,44;21,74;0;6;Germany;Western Europe;"Walter de Gruyter GmbH";"1994-1996, 1999-2025";"Political Science and International Relations (Q2); Sociology and Political Science (Q2); Economics and Econometrics (Q3); Management, Monitoring, Policy and Law (Q3)";"Economics, Econometrics and Finance; Environmental Science; Social Sciences"
662;21100228113;"BMS Bulletin of Sociological Methodology/ Bulletin de Methodologie Sociologique";journal;"07591063, 20702779";"SAGE Publications Inc.";No;No;0,275;Q2;26;28;79;1365;52;54;0,44;48,75;50,00;1;7;United Kingdom;Western Europe;"SAGE Publications Inc.";"1983-2024";"Sociology and Political Science (Q2)";"Social Sciences"
663;5800208402;"Citizenship, Social and Economics Education";journal;"20471734";"SAGE Publications Inc.";No;No;0,275;Q2;17;12;40;710;52;39;1,11;59,17;44,44;1;10;United Kingdom;Western Europe;"SAGE Publications Inc.";"2011-2025";"Economics, Econometrics and Finance (miscellaneous) (Q2); Sociology and Political Science (Q2); Education (Q3)";"Economics, Econometrics and Finance; Social Sciences"
664;19700169827;"Sociolinguistic Studies";journal;"17508649, 17508657";"Equinox Publishing Ltd";No;No;0,275;Q2;20;19;52;912;43;50;0,44;48,00;52,63;0;4;United Kingdom;Western Europe;"Equinox Publishing Ltd";"2008-2024";"Linguistics and Language (Q2); Sociology and Political Science (Q2)";"Social Sciences"
665;21100889415;"African Journal of Social Work";journal;"24095605";"National Association of Social Workers Zimbabwe";Yes;Yes;0,274;Q2;12;32;120;791;123;120;0,81;24,72;36,17;0;8;Zimbabwe;Africa;"National Association of Social Workers Zimbabwe";"2018-2024";"Sociology and Political Science (Q2); Education (Q3); Health (social science) (Q3); Social Sciences (miscellaneous) (Q3)";"Social Sciences"
666;17700156010;"Ethics and Global Politics";journal;"16546369, 16544951";"Taylor and Francis Ltd.";Yes;Yes;0,274;Q2;18;10;61;249;30;57;0,51;24,90;9,09;0;6;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2009-2025";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
667;21100967061;"Journal for Deradicalization";journal;"23639849";"German Institute on Radicalization and De-Radicalization Studies (GIRDS)";Yes;Yes;0,274;Q2;12;30;86;2116;93;86;0,93;70,53;55,71;0;11;Germany;Western Europe;"German Institute on Radicalization and De-Radicalization Studies (GIRDS)";"2019-2024";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
668;15256;"Korean Journal of Defense Analysis";journal;"19414641, 10163271";"Korea Institute for Defense Analyses";No;No;0,274;Q2;13;32;81;1701;38;81;0,38;53,16;22,73;0;7;South Korea;Asiatic Region;"Korea Institute for Defense Analyses";"1996-2024";"Political Science and International Relations (Q2); Sociology and Political Science (Q2); Safety Research (Q3)";"Social Sciences"
669;21100903469;"Russia in Global Affairs";journal;"18106374, 26189844";"Foreign Policy Research Foundation";No;No;0,274;Q2;9;52;151;1046;59;124;0,39;20,12;26,19;3;1;Russian Federation;Eastern Europe;"Foreign Policy Research Foundation";"2018-2024";"Cultural Studies (Q1); History (Q1); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
670;14594;"Social Work/Maatskaplike Werk";journal;"23127198, 00378054";"University of Stellenbosch";Yes;No;0,274;Q2;20;36;103;1805;69;94;0,41;50,14;53,85;0;17;South Africa;Africa;"University of Stellenbosch";"1973-1974, 1977, 1994-2024";"Sociology and Political Science (Q2); Social Work (Q4)";"Social Sciences"
671;16020;"Administration";journal;"00018325, 24499471";"De Gruyter Open Ltd.";Yes;Yes;0,273;Q2;12;25;81;696;41;79;0,60;27,84;45,71;3;6;Germany;Western Europe;"De Gruyter Open Ltd.";"2015-2024";"Economics, Econometrics and Finance (miscellaneous) (Q2); Sociology and Political Science (Q2); Public Administration (Q3)";"Economics, Econometrics and Finance; Social Sciences"
672;24180;"History of European Ideas";journal;"01916599, 1873541X";"Taylor and Francis Ltd.";No;No;0,273;Q2;22;79;229;3214;86;221;0,32;40,68;31,94;2;11;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1980-2025";"History (Q1); Philosophy (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
673;21100416483;"Families, Relationships and Societies";journal;"20467435, 20467443";"The Policy Press";No;No;0,272;Q2;25;39;106;1773;92;99;0,99;45,46;78,89;0;14;United Kingdom;Western Europe;"The Policy Press";"2012-2024";"Sociology and Political Science (Q2)";"Social Sciences"
674;19700170105;"Problems and Perspectives in Management";journal;"17277051, 18105467";"LLC CPC Business Perspectives";Yes;No;0,271;Q2;34;189;491;9592;724;491;1,53;50,75;46,69;2;104;Ukraine;Eastern Europe;"LLC CPC Business Perspectives";"2003-2025";"Law (Q2); Sociology and Political Science (Q2); Business and International Management (Q3); Business, Management and Accounting (miscellaneous) (Q3); Information Systems and Management (Q3); Public Administration (Q3); Social Sciences (miscellaneous) (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
675;145329;"International Journal of Discrimination and the Law";journal;"13582291, 20479468";"SAGE Publications Inc.";No;No;0,270;Q2;15;25;51;566;53;39;0,84;22,64;72,73;2;17;United Kingdom;Western Europe;"SAGE Publications Inc.";"2000, 2005-2009, 2011-2025";"Law (Q2); Sociology and Political Science (Q2)";"Social Sciences"
676;21101046763;"MedieKultur";journal;"19019726";"Society of Media Researchers In Denmark";Yes;Yes;0,270;Q2;9;6;51;281;34;47;0,61;46,83;75,00;0;2;Denmark;Western Europe;"Society of Media Researchers In Denmark";"2018-2024";"Cultural Studies (Q1); Arts and Humanities (miscellaneous) (Q2); Communication (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
677;5600153617;"Irish Studies Review";journal;"09670882";"Taylor and Francis Ltd.";No;No;0,269;Q2;14;27;81;955;35;78;0,47;35,37;43,75;0;4;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2002, 2010-2025";"Cultural Studies (Q1); History (Q1); Literature and Literary Theory (Q1); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
678;19700170230;"Sibirica";journal;"13617362, 14766787";"Berghahn Journals";Yes;Yes;0,269;Q2;9;18;49;805;22;40;0,33;44,72;72,97;0;3;United States;Northern America;"Berghahn Journals";"2014-2024";"Cultural Studies (Q1); History (Q1); Anthropology (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
679;12573;"Food and Foodways";journal;"15423484, 07409710";"Taylor and Francis Ltd.";No;No;0,268;Q2;23;15;58;828;71;57;1,24;55,20;73,08;1;8;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1985-1994, 1999, 2001, 2007-2025";"Cultural Studies (Q1); Anthropology (Q2); Sociology and Political Science (Q2); Food Science (Q3); Health (social science) (Q3)";"Agricultural and Biological Sciences; Social Sciences"
680;17400154833;"Journal of Transportation Security";journal;"19387741, 1938775X";"Springer New York";No;No;0,268;Q2;20;13;39;616;64;38;1,58;47,38;8,00;2;6;United States;Northern America;"Springer New York";"2008-2025";"Law (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2); Safety Research (Q3); Transportation (Q3); Management Science and Operations Research (Q4)";"Decision Sciences; Social Sciences"
681;5600155209;"Modern Italy";journal;"13532944, 14699877";"Cambridge University Press";No;No;0,267;Q2;23;24;82;1518;35;77;0,38;63,25;58,06;1;1;United Kingdom;Western Europe;"Cambridge University Press";"1995, 1997-2000, 2002-2025";"Cultural Studies (Q1); History (Q1); Anthropology (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
682;21101038706;"African Conflict and Peacebuilding Review";journal;"21567263, 2156695X";"The Trustees of Indiana University";No;No;0,266;Q2;7;19;39;826;45;37;1,18;43,47;38,10;2;7;United States;Northern America;"The Trustees of Indiana University";"2019-2024";"Cultural Studies (Q1); Anthropology (Q2); Sociology and Political Science (Q2)";"Social Sciences"
683;21100210921;"Central European Journal of Public Policy";journal;"18024866";"";Yes;No;0,266;Q2;13;8;27;446;41;27;1,06;55,75;44,44;0;5;Czech Republic;Eastern Europe;"";"2012-2024";"Law (Q2); Sociology and Political Science (Q2); Public Administration (Q3)";"Social Sciences"
684;21101047935;"Hasanuddin Law Review";journal;"24429880, 24429899";"Faculty of Law, Universitas Hasanuddin";Yes;Yes;0,266;Q2;9;21;61;634;36;61;0,75;30,19;30,36;0;14;Indonesia;Asiatic Region;"Faculty of Law, Universitas Hasanuddin";"2017-2025";"Law (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
685;21101095938;"International Journal of Economic Policy Studies";journal;"25244892, 18814387";"Springer Japan";No;No;0,266;Q2;9;22;64;705;71;58;1,05;32,05;24,24;3;14;Japan;Asiatic Region;"Springer Japan";"2019-2025";"Political Science and International Relations (Q2); Sociology and Political Science (Q2); Economics and Econometrics (Q3)";"Economics, Econometrics and Finance; Social Sciences"
686;19700174724;"International Journal of Migration, Health and Social Care";journal;"20428650, 17479894";"Emerald Group Publishing Ltd.";No;No;0,266;Q2;22;23;100;1180;77;100;0,65;51,30;65,17;0;17;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2005-2025";"Law (Q2); Sociology and Political Science (Q2); Health (social science) (Q3)";"Social Sciences"
687;11600153566;"Revista Espanola de Ciencia Politica";journal;"21739870, 15756548";"Asociacion Espanola de Ciencia Politica y de la Administracion";Yes;Yes;0,266;Q2;13;26;77;1298;67;77;0,38;49,92;33,33;4;10;Spain;Western Europe;"Asociacion Espanola de Ciencia Politica y de la Administracion";"2012-2024";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
688;21100838801;"African Evaluation Journal";journal;"23065133, 23104988";"AOSIS (Pty) Ltd";Yes;No;0,265;Q2;10;20;47;692;55;44;0,97;34,60;50,00;0;5;South Africa;Africa;"AOSIS (Pty) Ltd";"2017-2025";"Sociology and Political Science (Q2); Development (Q3)";"Social Sciences"
689;21100842666;"Caucasus Survey";journal;"23761199, 23761202";"Brill Academic Publishers";No;No;0,265;Q2;14;17;51;1040;52;47;0,89;61,18;44,44;0;8;Netherlands;Western Europe;"Brill Academic Publishers";"2013-2024";"Cultural Studies (Q1); History (Q1); Anthropology (Q2); Sociology and Political Science (Q2); Demography (Q3); Geography, Planning and Development (Q3)";"Arts and Humanities; Social Sciences"
690;5700163865;"Critique Internationale";journal;"12907839";"Presses de Sciences Po";No;No;0,264;Q3;22;35;104;1230;58;91;0,57;35,14;61,54;2;8;France;Western Europe;"Presses de Sciences Po";"2001-2024";"Political Science and International Relations (Q2); Sociology and Political Science (Q3)";"Social Sciences"
691;5600155273;"Cuadernos de Relaciones Laborales";journal;"11318635, 19882572";"Universidad Complutense Madrid";Yes;Yes;0,264;-;11;22;58;847;35;56;0,53;38,50;25,00;4;12;Spain;Western Europe;"Universidad Complutense Madrid";"2016-2024";"Industrial Relations (Q3); Organizational Behavior and Human Resource Management (Q3)";"Business, Management and Accounting"
692;25354;"Canadian Journal of African Studies";journal;"00083968";"Taylor and Francis Ltd.";No;No;0,263;Q3;17;29;90;1777;97;79;1,21;61,28;30,56;2;8;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1976, 1980, 1982-1986, 1988-1996, 1999, 2001, 2014-2025";"Cultural Studies (Q1); History (Q1); Anthropology (Q2); Demography (Q3); Development (Q3); Geography, Planning and Development (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
693;19400156802;"International Journal of Action Research";journal;"18611303, 18619916";"Verlag Barbara Budrich";No;No;0,263;Q3;15;19;58;518;30;47;0,53;27,26;43,48;0;4;Germany;Western Europe;"Verlag Barbara Budrich";"2009-2024";"Organizational Behavior and Human Resource Management (Q3); Sociology and Political Science (Q3)";"Business, Management and Accounting; Social Sciences"
694;5600155215;"Journal of Children and Poverty";journal;"10796126";"Routledge";No;No;0,263;Q3;16;0;27;0;22;26;1,00;0,00;0,00;0;0;United Kingdom;Western Europe;"Routledge";"2010-2020";"Urban Studies (Q2); Demography (Q3); Education (Q3); Sociology and Political Science (Q3)";"Social Sciences"
695;21100780829;"Ekonomicheskaya Sotsiologiya";journal;"17263247";"National Research University Higher School of Economics";Yes;No;0,262;Q3;8;24;83;1494;37;80;0,53;62,25;64,10;0;15;Russian Federation;Eastern Europe;"National Research University Higher School of Economics";"2016-2024";"Economics and Econometrics (Q3); Sociology and Political Science (Q3)";"Economics, Econometrics and Finance; Social Sciences"
696;21100900131;"Terra Economicus";journal;"24104531, 20736606";"Southern Federal University";No;No;0,262;Q3;12;35;114;1202;142;114;1,55;34,34;60,26;0;19;Russian Federation;Eastern Europe;"Southern Federal University";"2018-2024";"History (Q1); Law (Q2); Political Science and International Relations (Q2); Economics, Econometrics and Finance (miscellaneous) (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
697;21100896853;"Small Axe";journal;"15346714, 07990537";"Duke University Press";No;No;0,261;Q3;9;43;130;1431;39;118;0,31;33,28;52,50;0;1;United States;Northern America;"Duke University Press";"2018-2024";"Cultural Studies (Q1); Literature and Literary Theory (Q1); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
698;16241;"Journal of Law and Society";journal;"14676478, 0263323X";"Wiley-Blackwell Publishing Ltd";No;No;0,260;Q3;61;41;113;0;142;109;1,10;0,00;68,25;5;23;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1983, 1985, 1988, 1991-1993, 1996-2024";"Law (Q2); Sociology and Political Science (Q3)";"Social Sciences"
699;21101049548;"Remittances Review (discontinued)";journal;"20596588, 20596596";"Transnational Press London Ltd";No;No;0,260;Q3;8;17;20;521;39;16;3,00;30,65;37,50;0;12;United Kingdom;Western Europe;"Transnational Press London Ltd";"2019, 2021-2022";"Political Science and International Relations (Q2); Development (Q3); Geography, Planning and Development (Q3); Sociology and Political Science (Q3)";"Social Sciences"
700;5700152892;"New Political Science";journal;"07393148";"Routledge";No;No;0,259;Q3;32;43;107;0;82;103;0,68;0,00;37,50;2;17;United Kingdom;Western Europe;"Routledge";"1979-1986, 1989-2024";"Sociology and Political Science (Q3)";"Social Sciences"
701;5200152619;"Revista de Sociologia e Politica";journal;"01044478";"Universidade Federal do Parana";Yes;No;0,259;Q3;20;22;69;1054;38;67;0,46;47,91;28,89;1;9;Brazil;Latin America;"Universidade Federal do Parana";"2006-2024";"Sociology and Political Science (Q3)";"Social Sciences"
702;21100898972;"Somatechnics";journal;"20440146, 20440138";"Edinburgh University Press";No;No;0,259;Q3;17;12;67;395;49;54;0,74;32,92;44,44;0;3;United Kingdom;Western Europe;"Edinburgh University Press";"2011-2024";"Arts and Humanities (miscellaneous) (Q2); Law (Q2); Anatomy (Q3); Human Factors and Ergonomics (Q3); Sociology and Political Science (Q3); Human-Computer Interaction (Q4)";"Arts and Humanities; Computer Science; Medicine; Social Sciences"
703;21100781903;"Mir Rossii";journal;"18110398, 1811038X";"National Research University Higher School of Economics";Yes;No;0,257;Q3;11;31;110;1172;68;110;0,61;37,81;66,67;0;15;Russian Federation;Eastern Europe;"National Research University Higher School of Economics";"2016-2024";"Demography (Q3); Development (Q3); Economics and Econometrics (Q3); Sociology and Political Science (Q3)";"Economics, Econometrics and Finance; Social Sciences"
704;19900192456;"Culture, Theory and Critique";journal;"14735776, 14735784";"Routledge";No;No;0,256;Q3;19;21;80;876;61;74;0,40;41,71;55,56;1;5;United Kingdom;Western Europe;"Routledge";"2010-2025";"Cultural Studies (Q1); Sociology and Political Science (Q3)";"Social Sciences"
705;5600152936;"Crime Prevention and Community Safety";journal;"17434629, 14603780";"Palgrave Macmillan Ltd.";No;No;0,255;Q3;31;23;68;1181;64;66;0,85;51,35;44,23;1;11;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"1999-2025";"Law (Q2); Safety Research (Q3); Sociology and Political Science (Q3)";"Social Sciences"
706;21100258911;"Izquierdas";journal;"07185049";"Ariadna Ediciones";Yes;Yes;0,255;Q3;11;118;384;4722;123;380;0,28;40,02;37,97;0;38;Chile;Latin America;"Ariadna Ediciones";"2013-2024";"History (Q1); Political Science and International Relations (Q2); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
707;19700171309;"Studies in Social Justice";journal;"19114788";"Centre for Studies in Social Justice, University of Windsor";Yes;Yes;0,255;Q3;23;40;85;1833;70;84;0,77;45,83;72,58;0;29;Canada;Northern America;"Centre for Studies in Social Justice, University of Windsor";"2009-2024";"Law (Q2); Gender Studies (Q3); Sociology and Political Science (Q3)";"Social Sciences"
708;19700187605;"South Asian Diaspora";journal;"19438184, 19438192";"Routledge";No;No;0,253;Q3;16;9;40;446;31;39;0,81;49,56;53,85;0;7;United Kingdom;Western Europe;"Routledge";"2009-2025";"Cultural Studies (Q1); Anthropology (Q2); Sociology and Political Science (Q3)";"Social Sciences"
709;21100786959;"Austrian Journal of Political Science";journal;"23135433";"Osterreichischen Gesellschaft fur Politikwissenschaft";Yes;Yes;0,252;Q3;11;2;16;73;12;16;0,82;36,50;0,00;0;0;Germany;Western Europe;"Osterreichischen Gesellschaft fur Politikwissenschaft";"2015-2025";"Sociology and Political Science (Q3)";"Social Sciences"
710;17201;"Canadian Public Administration";journal;"00084840, 17547121";"Wiley-Blackwell";No;No;0,252;Q3;33;42;99;1827;98;96;1,08;43,50;38,36;3;15;United States;Northern America;"Wiley-Blackwell";"1958-2024";"Public Administration (Q3); Sociology and Political Science (Q3)";"Social Sciences"
711;21100855500;"Journal of Population and Social Studies";journal;"24654418";"Mahidol University, Institute for Population and Social Research";No;No;0,251;Q3;12;53;90;2489;79;90;0,93;46,96;44,88;0;34;Thailand;Asiatic Region;"Mahidol University, Institute for Population and Social Research";"2017-2025";"Anthropology (Q2); Demography (Q3); Geography, Planning and Development (Q3); Health (social science) (Q3); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3)";"Social Sciences"
712;21100896938;"Revista Fuentes";journal;"21727775";"Facultad de Ciencias de la Educacion";Yes;Yes;0,251;Q3;9;30;67;1317;67;67;0,96;43,90;59,55;0;8;Spain;Western Europe;"Facultad de Ciencias de la Educacion";"2018-2025";"Education (Q3); Sociology and Political Science (Q3); Developmental and Educational Psychology (Q4)";"Psychology; Social Sciences"
713;19900188001;"Poverty and Public Policy";journal;"21946027, 19442858";"John Wiley and Sons Inc";No;No;0,250;Q3;19;24;62;1282;45;51;0,84;53,42;39,02;1;19;United States;Northern America;"John Wiley and Sons Inc";"2009-2024";"Cultural Studies (Q1); Sociology and Political Science (Q3)";"Social Sciences"
714;21101039257;"Revista Brasileira de Estudos Politicos";journal;"23595736, 00347191";"Universidade Federal de Minas Gerais, Faculdade de Letras";Yes;Yes;0,249;Q3;4;28;88;1186;27;85;0,30;42,36;35,56;0;14;Brazil;Latin America;"Universidade Federal de Minas Gerais, Faculdade de Letras";"2019-2024";"Law (Q2); Sociology and Political Science (Q3)";"Social Sciences"
715;21100780471;"Asian Studies";journal;"22325131, 23504226";"University of Ljubljana Press";Yes;Yes;0,248;Q3;10;48;102;2223;78;95;0,92;46,31;33,33;1;14;Slovenia;Eastern Europe;"University of Ljubljana Press";"2013-2025";"Cultural Studies (Q1); History (Q1); Literature and Literary Theory (Q1); Philosophy (Q2); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
716;50047;"Journal of Southeast Asian Studies";journal;"14740680, 00224634";"Cambridge University Press";No;No;0,248;Q3;38;40;98;2440;83;86;0,35;61,00;36,59;0;10;United Kingdom;Western Europe;"Cambridge University Press";"1970-2024";"History (Q1); Geography, Planning and Development (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
717;28925;"Loisir et Societe";journal;"07053436";"Taylor and Francis Ltd.";No;No;0,248;Q3;29;36;89;1770;60;82;0,37;49,17;46,88;0;7;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1978-2024";"Metals and Alloys (Q3); Sociology and Political Science (Q3)";"Materials Science; Social Sciences"
718;23925;"Commonwealth and Comparative Politics";journal;"17439094, 14662043";"Routledge";No;No;0,247;Q3;35;15;68;956;51;63;0,74;63,73;37,04;3;5;United Kingdom;Western Europe;"Routledge";"2002-2025";"Political Science and International Relations (Q2); Sociology and Political Science (Q3)";"Social Sciences"
719;145469;"Illness Crisis and Loss";journal;"10541373";"Baywood Publishing Co. Inc.";No;No;0,247;Q3;19;45;58;1804;60;56;0,83;40,09;70,09;1;23;United States;Northern America;"Baywood Publishing Co. Inc.";"2005-2025";"Health (social science) (Q3); Sociology and Political Science (Q3)";"Social Sciences"
720;12365;"Canadian Journal of Law and Society";journal;"08293201, 19110227";"Cambridge University Press";No;No;0,245;Q3;28;21;78;987;60;75;0,67;47,00;54,84;1;10;United Kingdom;Western Europe;"Cambridge University Press";"1986-2024";"Law (Q2); Sociology and Political Science (Q3)";"Social Sciences"
721;4400151727;"Estudos Avancados";journal;"18069592, 01034014";"Instituto de Estudos Avancados da Universidade de Sao Paulo";Yes;Yes;0,245;Q3;38;51;212;1521;162;211;0,96;29,82;37,65;6;15;Brazil;Latin America;"Instituto de Estudos Avancados da Universidade de Sao Paulo";"2006-2024";"Cultural Studies (Q2); Sociology and Political Science (Q3)";"Social Sciences"
722;16500154711;"Hobbes Studies";journal;"09215891, 18750257";"Brill Academic Publishers";No;No;0,245;Q3;10;10;30;511;11;26;0,56;51,10;27,27;0;0;Netherlands;Western Europe;"Brill Academic Publishers";"1989-1990, 1992, 1994, 1996-2024";"History (Q1); Philosophy (Q2); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
723;20600195510;"Journal of Aggression, Conflict and Peace Research";journal;"20428715, 17596599";"Emerald Group Publishing Ltd.";No;No;0,245;Q3;23;30;64;1340;56;62;0,73;44,67;65,98;0;21;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2009-2025";"Law (Q2); Health (social science) (Q3); Sociology and Political Science (Q3); Social Psychology (Q4)";"Psychology; Social Sciences"
724;14403;"Victorian Studies";journal;"15272052, 00425222";"Indiana University Press";No;No;0,245;Q3;29;46;72;869;56;63;0,94;18,89;64,29;0;2;United States;Northern America;"Indiana University Press";"1969-1972, 1976-1978, 1980-1982, 1984-1986, 1988, 1990-1992, 1995, 1999, 2001-2024";"Cultural Studies (Q1); History (Q1); Literature and Literary Theory (Q1); Visual Arts and Performing Arts (Q1); Philosophy (Q2); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
725;18299;"American Journal of Economics and Sociology";journal;"00029246, 15367150";"Wiley-Blackwell Publishing Ltd";No;No;0,244;Q3;50;47;163;1616;156;145;0,88;34,38;42,62;0;30;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1941-1966, 1968-1976, 1978-2025";"Economics and Econometrics (Q3); Sociology and Political Science (Q3)";"Economics, Econometrics and Finance; Social Sciences"
726;15693;"Journal of Modern Italian Studies";journal;"14699583, 1354571X";"Taylor and Francis Ltd.";No;No;0,244;Q3;30;37;105;1722;59;96;0,47;46,54;28,95;0;7;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1995-2025";"History (Q1); Cultural Studies (Q2); Political Science and International Relations (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
727;27696;"Journal of Southern African Studies";journal;"03057070, 14653893";"Routledge";No;No;0,243;Q3;60;60;189;0;150;167;0,69;0,00;36,23;5;31;United Kingdom;Western Europe;"Routledge";"1974-2024";"Arts and Humanities (miscellaneous) (Q2); Geography, Planning and Development (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
728;5600155015;"German Politics and Society";journal;"15585441, 10450300";"Berghahn Journals";No;No;0,242;Q3;13;25;69;1387;37;66;0,41;55,48;22,58;0;10;United States;Northern America;"Berghahn Journals";"2015-2024";"History (Q1); Cultural Studies (Q2); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
729;5600154142;"Asian Journal of Political Science";journal;"02185377";"Routledge";No;No;0,241;Q3;23;15;51;793;62;51;1,14;52,87;25,00;0;8;United States;Northern America;"Routledge";"1993-2025";"Political Science and International Relations (Q3); Sociology and Political Science (Q3)";"Social Sciences"
